Transaction_ID,Date,Time,Amount,Merchant,Card_Number,Transaction_Type,Is_Fraud
39,2025-03-06,11:50:00,169.02,Merchant_3,CARD0058,Purchase,0
40,2025-03-21,13:51:00,1363.36,Merchant_7,CARD0021,Purchase,1
41,2025-01-04,23:07:00,14.78,Merchant_12,CARD0053,Purchase,0
42,2025-01-18,19:42:00,123.44,Merchant_5,CARD0082,Purchase,0
43,2025-01-07,00:15:00,114.16,Merchant_2,CARD0010,Purchase,0
44,2025-01-04,20:28:00,61.04,Merchant_16,CARD0006,Purchase,0
45,2025-03-21,20:58:00,54.61,Merchant_4,CARD0017,Purchase,0
46,2025-03-07,18:43:00,78.98,Merchant_10,CARD0012,Purchase,0
47,2025-02-07,16:58:00,922.01,Merchant_6,CARD0042,Purchase,1
48,2025-02-20,15:19:00,130.35,Merchant_19,CARD0060,Purchase,0
49,2025-02-15,03:07:00,219.14,Merchant_14,CARD0033,Cash_Advance,0
50,2025-02-17,02:40:00,50.67,Merchant_14,CARD0036,Online,0
51,2025-03-18,14:01:00,163.82,Merchant_15,CARD0094,Purchase,0
52,2025-02-11,01:44:00,84.76,Merchant_11,CARD0023,Purchase,0
53,2025-02-27,15:21:00,168.26,Merchant_6,CARD0003,Purchase,0
54,2025-03-22,16:15:00,33.14,Merchant_12,CARD0073,Refund,0
55,2025-01-18,22:44:00,159.34,Merchant_14,CARD0067,Cash_Advance,0
56,2025-01-01,05:17:00,96.59,Merchant_6,CARD0062,Purchase,0
57,2025-01-09,21:06:00,2379.38,Merchant_19,CARD0046,Purchase,1
58,2025-01-13,11:31:00,36.09,Merchant_14,CARD0009,Online,0
59,2025-01-26,20:59:00,209.84,Merchant_17,CARD0083,Purchase,0
60,2025-02-26,10:01:00,49.15,Merchant_14,CARD0022,Cash_Advance,0
61,2025-02-20,12:52:00,23.26,Merchant_1,CARD0078,Online,0
62,2025-02-18,16:07:00,87.88,Merchant_10,CARD0050,Refund,0
63,2025-03-01,21:18:00,146.96,Merchant_17,CARD0095,Refund,0
64,2025-03-06,17:41:00,348.24,Merchant_9,CARD0098,Purchase,0
65,2025-02-05,21:08:00,14.82,Merchant_10,CARD0054,Purchase,0
66,2025-02-21,13:39:00,223.74,Merchant_18,CARD0053,Purchase,0
67,2025-03-15,20:48:00,48.28,Merchant_11,CARD0087,Online,0
68,2025-02-22,13:35:00,119.23,Merchant_17,CARD0033,Purchase,0
69,2025-03-06,22:08:00,164.75,Merchant_12,CARD0041,Purchase,0
70,2025-03-12,16:50:00,72.08,Merchant_5,CARD0092,Purchase,0
71,2025-02-21,14:42:00,213.3,Merchant_5,CARD0021,Cash_Advance,0
72,2025-01-14,02:41:00,124.93,Merchant_10,CARD0026,Purchase,0
73,2025-03-20,21:02:00,112.4,Merchant_2,CARD0010,Purchase,1
74,2025-02-22,04:37:00,121.85,Merchant_1,CARD0064,Purchase,0
75,2025-03-18,06:05:00,46.61,Merchant_18,CARD0023,Purchase,0
76,2025-01-11,13:12:00,82.45,Merchant_16,CARD0067,Purchase,0
77,2025-03-09,01:48:00,104.28,Merchant_16,CARD0010,Refund,0
78,2025-01-04,10:07:00,7.9,Merchant_5,CARD0001,Purchase,0
79,2025-02-14,12:21:00,163.57,Merchant_19,CARD0028,Purchase,0
80,2025-01-24,10:15:00,64.86,Merchant_8,CARD0077,Purchase,0
81,2025-01-31,11:57:00,34.83,Merchant_1,CARD0039,Purchase,0
82,2025-02-08,02:53:00,17.28,Merchant_11,CARD0078,Purchase,0
83,2025-03-16,05:47:00,145.33,Merchant_19,CARD0058,Purchase,0
84,2025-01-30,05:27:00,106.9,Merchant_8,CARD0038,Purchase,0
85,2025-01-04,20:59:00,133.57,Merchant_19,CARD0065,Online,0
86,2025-02-24,20:41:00,30.23,Merchant_5,CARD0002,Purchase,0
87,2025-01-22,22:37:00,75.57,Merchant_20,CARD0070,Purchase,0
88,2025-01-31,20:44:00,99.01,Merchant_18,CARD0018,Purchase,0
89,2025-01-15,00:06:00,102.96,Merchant_2,CARD0052,Cash_Advance,0
90,2025-01-01,17:23:00,94.49,Merchant_19,CARD0054,Refund,0
91,2025-03-08,14:08:00,254.04,Merchant_10,CARD0018,Cash_Advance,0
92,2025-02-17,21:30:00,61.09,Merchant_18,CARD0022,Purchase,0
93,2025-01-19,13:33:00,27.06,Merchant_16,CARD0047,Purchase,0
94,2025-03-14,03:18:00,154.59,Merchant_5,CARD0076,Purchase,0
95,2025-01-19,07:15:00,24.25,Merchant_13,CARD0075,Cash_Advance,0
96,2025-01-29,04:38:00,251.7,Merchant_2,CARD0073,Purchase,0
97,2025-01-25,12:11:00,123.97,Merchant_11,CARD0028,Online,0
98,2025-01-17,00:37:00,1546.21,Merchant_12,CARD0042,Online,1
99,2025-02-28,02:17:00,66.82,Merchant_8,CARD0039,Online,0
100,2025-01-20,08:13:00,207.41,Merchant_12,CARD0019,Purchase,0
101,2025-03-11,00:39:00,113.8,Merchant_15,CARD0020,Purchase,0
102,2025-03-10,11:16:00,104.53,Merchant_15,CARD0068,Purchase,0
103,2025-02-03,15:21:00,23.47,Merchant_17,CARD0027,Purchase,0
104,2025-02-04,06:12:00,22.75,Merchant_10,CARD0065,Purchase,0
105,2025-01-02,13:51:00,98.67,Merchant_7,CARD0091,Online,0
106,2025-03-24,07:47:00,51.56,Merchant_20,CARD0046,Refund,0
107,2025-01-05,10:03:00,128.64,Merchant_20,CARD0064,Cash_Advance,0
108,2025-02-04,19:52:00,122.49,Merchant_10,CARD0064,Purchase,0
109,2025-02-17,10:07:00,27.69,Merchant_18,CARD0057,Purchase,0
110,2025-01-29,08:11:00,71.28,Merchant_14,CARD0050,Online,0
111,2025-01-08,16:22:00,38.18,Merchant_16,CARD0092,Purchase,0
112,2025-03-23,10:20:00,143.43,Merchant_13,CARD0099,Purchase,0
113,2025-02-22,21:47:00,169.99,Merchant_11,CARD0001,Purchase,0
114,2025-01-31,14:30:00,119.27,Merchant_3,CARD0003,Cash_Advance,0
115,2025-01-02,06:41:00,118.81,Merchant_17,CARD0004,Purchase,0
116,2025-03-17,20:14:00,88.47,Merchant_5,CARD0027,Purchase,0
117,2025-02-11,14:35:00,68.88,Merchant_7,CARD0037,Cash_Advance,0
118,2025-03-26,11:59:00,18.13,Merchant_6,CARD0023,Online,0
119,2025-02-08,13:58:00,213.9,Merchant_6,CARD0027,Purchase,0
120,2025-01-07,03:31:00,12.46,Merchant_6,CARD0089,Purchase,0
121,2025-01-31,16:58:00,1525.51,Merchant_20,CARD0082,Purchase,1
122,2025-01-09,20:14:00,174.02,Merchant_7,CARD0002,Purchase,0
123,2025-03-15,09:02:00,132.4,Merchant_6,CARD0010,Purchase,0
124,2025-03-15,08:43:00,61.46,Merchant_5,CARD0044,Online,0
125,2025-03-19,09:25:00,93.9,Merchant_7,CARD0098,Purchase,0
126,2025-03-23,21:43:00,182.06,Merchant_15,CARD0090,Online,0
127,2025-02-28,21:02:00,189.09,Merchant_18,CARD0027,Purchase,0
128,2025-03-09,20:53:00,42.53,Merchant_5,CARD0096,Purchase,0
129,2025-03-07,05:19:00,674.0,Merchant_11,CARD0037,Purchase,1
130,2025-03-14,22:15:00,196.6,Merchant_20,CARD0075,Purchase,0
131,2025-03-29,19:47:00,127.82,Merchant_14,CARD0049,Purchase,0
132,2025-01-18,18:20:00,115.1,Merchant_8,CARD0029,Purchase,0
133,2025-03-14,12:36:00,280.39,Merchant_8,CARD0077,Refund,1
134,2025-01-28,19:15:00,4.16,Merchant_2,CARD0008,Online,0
135,2025-02-24,05:59:00,69.09,Merchant_16,CARD0088,Purchase,0
136,2025-02-12,06:42:00,210.68,Merchant_17,CARD0060,Cash_Advance,0
137,2025-03-15,16:40:00,72.53,Merchant_10,CARD0093,Purchase,0
138,2025-01-26,21:17:00,158.07,Merchant_14,CARD0065,Purchase,0
139,2025-01-19,07:33:00,101.29,Merchant_12,CARD0077,Purchase,0
140,2025-03-19,11:04:00,36.37,Merchant_20,CARD0054,Cash_Advance,0
141,2025-01-22,09:41:00,87.44,Merchant_11,CARD0025,Online,0
142,2025-03-19,11:17:00,79.57,Merchant_2,CARD0007,Purchase,0
143,2025-03-27,13:10:00,86.22,Merchant_15,CARD0022,Purchase,0
144,2025-03-23,03:47:00,70.67,Merchant_15,CARD0097,Purchase,0
145,2025-02-13,07:00:00,44.93,Merchant_3,CARD0015,Purchase,0
146,2025-02-21,21:05:00,37.9,Merchant_18,CARD0003,Purchase,0
147,2025-03-04,03:25:00,346.05,Merchant_20,CARD0055,Online,0
148,2025-03-29,06:28:00,47.33,Merchant_16,CARD0008,Purchase,0
149,2025-01-12,10:18:00,57.72,Merchant_9,CARD0048,Purchase,0
150,2025-03-11,00:24:00,99.91,Merchant_18,CARD0065,Purchase,0
151,2025-02-28,09:42:00,55.99,Merchant_7,CARD0076,Cash_Advance,0
152,2025-02-16,00:28:00,42.4,Merchant_10,CARD0095,Purchase,0
153,2025-01-04,16:46:00,43.07,Merchant_20,CARD0092,Purchase,0
154,2025-01-13,13:07:00,62.37,Merchant_17,CARD0083,Online,0
155,2025-03-08,07:27:00,170.5,Merchant_16,CARD0082,Purchase,0
156,2025-03-16,20:16:00,184.28,Merchant_10,CARD0052,Purchase,0
157,2025-03-01,18:42:00,177.52,Merchant_17,CARD0077,Online,0
158,2025-03-03,00:24:00,135.35,Merchant_12,CARD0099,Online,0
159,2025-02-03,10:30:00,161.05,Merchant_7,CARD0038,Online,0
160,2025-02-14,02:09:00,728.48,Merchant_1,CARD0022,Online,1
161,2025-03-10,10:47:00,71.18,Merchant_12,CARD0057,Purchase,0
162,2025-02-08,00:39:00,3740.78,Merchant_18,CARD0013,Purchase,1
163,2025-01-31,01:52:00,62.06,Merchant_16,CARD0036,Purchase,0
164,2025-03-21,16:24:00,112.21,Merchant_12,CARD0054,Purchase,0
165,2025-01-26,22:27:00,28.22,Merchant_10,CARD0047,Purchase,0
166,2025-02-28,22:08:00,230.42,Merchant_11,CARD0047,Purchase,0
167,2025-01-09,08:00:00,29.25,Merchant_12,CARD0070,Online,0
168,2025-01-26,18:30:00,316.79,Merchant_4,CARD0072,Purchase,0
169,2025-02-02,20:17:00,124.9,Merchant_4,CARD0088,Online,0
170,2025-03-26,01:55:00,29.97,Merchant_10,CARD0080,Online,0
171,2025-03-14,15:58:00,155.52,Merchant_6,CARD0083,Purchase,0
172,2025-01-05,12:57:00,34.85,Merchant_5,CARD0038,Purchase,0
173,2025-03-03,12:14:00,209.11,Merchant_13,CARD0048,Refund,0
174,2025-02-23,13:46:00,239.95,Merchant_11,CARD0067,Online,0
175,2025-01-11,22:33:00,114.16,Merchant_9,CARD0022,Purchase,0
176,2025-02-28,10:31:00,59.17,Merchant_3,CARD0100,Cash_Advance,0
177,2025-03-01,15:59:00,104.42,Merchant_16,CARD0022,Purchase,0
178,2025-01-18,16:48:00,213.44,Merchant_16,CARD0062,Purchase,0
179,2025-03-01,13:10:00,68.68,Merchant_17,CARD0087,Purchase,0
180,2025-03-23,02:22:00,54.21,Merchant_7,CARD0001,Purchase,0
181,2025-02-07,13:46:00,318.69,Merchant_8,CARD0086,Refund,1
182,2025-01-11,12:17:00,62.76,Merchant_11,CARD0063,Purchase,0
183,2025-02-13,19:38:00,112.84,Merchant_12,CARD0080,Purchase,0
184,2025-03-30,03:34:00,47.08,Merchant_16,CARD0042,Purchase,0
185,2025-02-28,00:08:00,117.71,Merchant_17,CARD0067,Online,0
186,2025-01-03,23:21:00,97.08,Merchant_1,CARD0002,Purchase,0
187,2025-01-15,11:44:00,109.22,Merchant_13,CARD0061,Purchase,0
188,2025-03-14,04:19:00,120.95,Merchant_8,CARD0061,Purchase,0
189,2025-01-03,10:29:00,72.56,Merchant_2,CARD0010,Purchase,0
190,2025-02-08,14:16:00,74.32,Merchant_16,CARD0036,Purchase,0
191,2025-02-27,06:59:00,91.88,Merchant_8,CARD0057,Online,0
192,2025-01-06,01:38:00,34.39,Merchant_7,CARD0016,Cash_Advance,0
193,2025-03-30,18:37:00,143.59,Merchant_1,CARD0013,Purchase,0
194,2025-03-05,06:11:00,71.99,Merchant_2,CARD0034,Purchase,0
195,2025-01-26,23:05:00,47.46,Merchant_18,CARD0022,Purchase,0
196,2025-01-03,16:56:00,191.18,Merchant_17,CARD0019,Purchase,0
197,2025-01-03,16:47:00,199.6,Merchant_16,CARD0018,Online,0
198,2025-01-29,11:48:00,177.53,Merchant_19,CARD0048,Purchase,0
199,2025-02-13,07:38:00,27.17,Merchant_15,CARD0010,Purchase,0
200,2025-03-09,21:34:00,17.53,Merchant_14,CARD0083,Purchase,0
201,2025-03-04,23:44:00,53.14,Merchant_2,CARD0027,Purchase,0
202,2025-01-15,14:04:00,12.84,Merchant_11,CARD0014,Purchase,0
203,2025-02-12,19:12:00,127.77,Merchant_15,CARD0012,Purchase,0
204,2025-03-08,04:56:00,108.78,Merchant_14,CARD0076,Purchase,0
205,2025-02-07,14:50:00,89.3,Merchant_3,CARD0086,Online,0
206,2025-02-07,10:07:00,88.05,Merchant_11,CARD0009,Purchase,0
207,2025-03-30,00:17:00,105.35,Merchant_9,CARD0035,Purchase,0
208,2025-03-28,14:07:00,147.43,Merchant_2,CARD0014,Purchase,0
209,2025-01-29,01:57:00,186.0,Merchant_12,CARD0024,Cash_Advance,0
210,2025-02-11,18:12:00,31.47,Merchant_9,CARD0067,Cash_Advance,0
211,2025-01-03,12:15:00,136.9,Merchant_15,CARD0100,Online,0
212,2025-03-26,00:23:00,34.14,Merchant_9,CARD0090,Refund,0
213,2025-02-27,16:04:00,200.58,Merchant_3,CARD0046,Refund,0
214,2025-03-11,11:26:00,231.92,Merchant_13,CARD0026,Purchase,0
215,2025-03-16,21:19:00,200.88,Merchant_2,CARD0046,Purchase,0
216,2025-02-24,06:06:00,579.62,Merchant_1,CARD0099,Purchase,1
217,2025-03-05,04:17:00,21.68,Merchant_3,CARD0071,Purchase,0
218,2025-03-28,13:51:00,147.56,Merchant_8,CARD0029,Purchase,0
219,2025-02-26,14:55:00,46.63,Merchant_18,CARD0005,Online,0
220,2025-02-17,06:36:00,114.86,Merchant_5,CARD0030,Purchase,0
221,2025-03-22,08:08:00,55.59,Merchant_14,CARD0012,Online,0
222,2025-01-13,12:54:00,171.47,Merchant_20,CARD0089,Purchase,0
223,2025-03-02,15:19:00,75.96,Merchant_14,CARD0061,Purchase,0
224,2025-02-04,12:14:00,69.43,Merchant_9,CARD0014,Purchase,0
225,2025-01-31,10:55:00,72.01,Merchant_10,CARD0031,Refund,0
226,2025-02-17,02:01:00,133.84,Merchant_13,CARD0043,Purchase,0
227,2025-01-20,13:35:00,10.92,Merchant_1,CARD0076,Purchase,0
228,2025-03-01,09:29:00,65.4,Merchant_8,CARD0062,Purchase,0
229,2025-02-22,14:59:00,1483.63,Merchant_9,CARD0052,Cash_Advance,1
230,2025-01-28,00:23:00,97.79,Merchant_11,CARD0067,Online,0
231,2025-02-11,22:35:00,236.5,Merchant_5,CARD0089,Purchase,0
232,2025-02-24,17:50:00,55.32,Merchant_19,CARD0045,Purchase,0
233,2025-01-23,22:42:00,102.4,Merchant_20,CARD0023,Purchase,0
234,2025-02-28,11:03:00,14.51,Merchant_20,CARD0094,Purchase,0
235,2025-02-02,17:04:00,2473.05,Merchant_16,CARD0005,Purchase,1
236,2025-01-15,15:32:00,97.76,Merchant_9,CARD0058,Purchase,0
237,2025-01-19,01:44:00,103.42,Merchant_14,CARD0097,Refund,0
238,2025-03-22,14:26:00,77.18,Merchant_18,CARD0040,Purchase,0
239,2025-03-16,17:26:00,175.76,Merchant_16,CARD0012,Cash_Advance,0
240,2025-02-10,14:20:00,336.36,Merchant_18,CARD0094,Purchase,0
241,2025-03-08,13:02:00,332.27,Merchant_20,CARD0017,Purchase,1
242,2025-03-29,11:45:00,23.88,Merchant_16,CARD0015,Purchase,0
243,2025-02-12,17:47:00,22.64,Merchant_16,CARD0043,Purchase,0
244,2025-02-21,17:03:00,429.92,Merchant_17,CARD0067,Purchase,1
245,2025-02-01,16:51:00,28.06,Merchant_6,CARD0075,Purchase,0
246,2025-02-23,21:14:00,25.91,Merchant_17,CARD0014,Cash_Advance,0
247,2025-02-26,20:24:00,152.4,Merchant_19,CARD0059,Purchase,0
248,2025-03-25,12:32:00,68.38,Merchant_17,CARD0081,Purchase,0
249,2025-02-21,22:20:00,79.52,Merchant_4,CARD0096,Purchase,0
250,2025-01-28,05:04:00,101.3,Merchant_10,CARD0035,Purchase,0
251,2025-01-11,21:09:00,88.76,Merchant_15,CARD0030,Purchase,0
252,2025-02-03,16:13:00,105.08,Merchant_20,CARD0069,Purchase,0
253,2025-02-12,12:09:00,12.59,Merchant_8,CARD0013,Purchase,0
254,2025-02-20,13:46:00,57.4,Merchant_16,CARD0098,Purchase,0
255,2025-02-13,05:32:00,57.84,Merchant_16,CARD0021,Cash_Advance,0
256,2025-03-22,22:44:00,27.85,Merchant_19,CARD0090,Purchase,0
257,2025-01-08,23:01:00,219.1,Merchant_20,CARD0038,Purchase,0
258,2025-03-08,03:57:00,134.18,Merchant_6,CARD0056,Purchase,0
259,2025-03-14,23:47:00,98.21,Merchant_5,CARD0070,Purchase,0
260,2025-02-17,08:38:00,66.82,Merchant_15,CARD0068,Purchase,0
261,2025-01-02,19:25:00,158.54,Merchant_8,CARD0082,Purchase,0
262,2025-01-08,23:06:00,118.37,Merchant_10,CARD0095,Purchase,0
263,2025-03-10,08:02:00,99.3,Merchant_11,CARD0024,Purchase,0
264,2025-01-18,21:43:00,47.35,Merchant_2,CARD0073,Purchase,0
265,2025-02-06,07:12:00,107.26,Merchant_12,CARD0027,Online,0
266,2025-01-24,20:11:00,236.42,Merchant_17,CARD0008,Cash_Advance,1
267,2025-02-24,05:01:00,116.02,Merchant_18,CARD0090,Online,0
268,2025-01-19,00:47:00,55.33,Merchant_8,CARD0077,Cash_Advance,0
269,2025-03-30,10:35:00,20.93,Merchant_8,CARD0064,Purchase,0
270,2025-01-23,00:51:00,111.57,Merchant_14,CARD0057,Cash_Advance,0
271,2025-01-14,18:05:00,158.87,Merchant_2,CARD0005,Refund,0
272,2025-02-13,17:43:00,102.28,Merchant_8,CARD0019,Refund,0
273,2025-01-15,10:39:00,86.63,Merchant_20,CARD0052,Purchase,0
274,2025-02-01,04:12:00,60.5,Merchant_2,CARD0078,Purchase,0
275,2025-02-23,03:51:00,84.31,Merchant_19,CARD0045,Purchase,0
276,2025-03-13,20:00:00,13.4,Merchant_14,CARD0037,Cash_Advance,0
277,2025-02-20,05:33:00,84.17,Merchant_12,CARD0096,Purchase,0
278,2025-01-11,14:54:00,88.23,Merchant_5,CARD0015,Purchase,0
279,2025-03-03,09:04:00,79.03,Merchant_20,CARD0058,Purchase,0
280,2025-02-22,15:39:00,98.28,Merchant_20,CARD0027,Online,0
281,2025-02-28,03:27:00,62.37,Merchant_11,CARD0081,Cash_Advance,0
282,2025-01-12,09:32:00,5.9,Merchant_20,CARD0098,Online,0
283,2025-01-27,04:55:00,69.04,Merchant_11,CARD0091,Purchase,0
284,2025-01-26,05:14:00,74.63,Merchant_18,CARD0091,Purchase,0
285,2025-01-10,02:45:00,293.86,Merchant_10,CARD0008,Online,0
286,2025-03-01,01:44:00,21.67,Merchant_16,CARD0048,Purchase,0
287,2025-01-01,10:51:00,147.28,Merchant_18,CARD0026,Purchase,0
288,2025-02-11,01:37:00,82.76,Merchant_9,CARD0078,Purchase,0
289,2025-02-09,08:35:00,37.55,Merchant_6,CARD0009,Purchase,0
290,2025-02-23,02:44:00,31.5,Merchant_12,CARD0076,Online,0
291,2025-01-19,02:43:00,152.03,Merchant_1,CARD0015,Purchase,0
292,2025-01-28,15:50:00,82.53,Merchant_10,CARD0098,Purchase,0
293,2025-02-06,04:14:00,61.92,Merchant_2,CARD0086,Online,0
294,2025-03-05,16:14:00,34.93,Merchant_13,CARD0012,Online,0
295,2025-01-28,23:07:00,82.02,Merchant_9,CARD0089,Purchase,0
296,2025-02-24,06:46:00,17.12,Merchant_8,CARD0033,Cash_Advance,0
297,2025-02-12,18:22:00,33.21,Merchant_12,CARD0004,Purchase,0
298,2025-03-21,13:05:00,278.58,Merchant_13,CARD0005,Purchase,0
299,2025-03-24,20:58:00,110.85,Merchant_6,CARD0016,Purchase,0
300,2025-01-19,14:56:00,1371.67,Merchant_19,CARD0053,Purchase,1
301,2025-02-28,20:15:00,63.5,Merchant_20,CARD0045,Purchase,0
302,2025-02-08,21:34:00,56.92,Merchant_14,CARD0068,Purchase,0
303,2025-01-18,11:01:00,72.79,Merchant_13,CARD0019,Online,0
304,2025-01-27,07:39:00,35.68,Merchant_16,CARD0013,Online,0
305,2025-02-09,11:06:00,166.09,Merchant_15,CARD0003,Purchase,0
306,2025-02-07,09:36:00,384.12,Merchant_10,CARD0005,Online,0
307,2025-02-14,10:58:00,4.94,Merchant_14,CARD0015,Purchase,0
308,2025-01-02,07:19:00,215.34,Merchant_9,CARD0091,Purchase,0
309,2025-03-22,09:17:00,200.01,Merchant_10,CARD0033,Purchase,0
310,2025-02-20,22:27:00,642.15,Merchant_8,CARD0084,Online,1
311,2025-01-07,20:49:00,182.1,Merchant_18,CARD0041,Purchase,0
312,2025-01-12,14:21:00,95.15,Merchant_18,CARD0034,Purchase,0
313,2025-03-16,21:43:00,54.21,Merchant_12,CARD0017,Purchase,0
314,2025-03-16,05:29:00,61.94,Merchant_18,CARD0041,Purchase,0
315,2025-02-22,07:59:00,75.41,Merchant_17,CARD0058,Refund,0
316,2025-02-21,15:18:00,131.43,Merchant_11,CARD0007,Purchase,0
317,2025-02-11,16:56:00,114.38,Merchant_11,CARD0044,Online,0
318,2025-03-06,08:50:00,35.67,Merchant_20,CARD0037,Purchase,0
319,2025-01-15,21:16:00,197.21,Merchant_14,CARD0044,Cash_Advance,0
320,2025-01-04,14:15:00,53.33,Merchant_1,CARD0037,Purchase,0
321,2025-01-03,17:45:00,131.8,Merchant_20,CARD0015,Purchase,0
322,2025-01-28,13:57:00,158.7,Merchant_15,CARD0098,Purchase,0
323,2025-02-18,01:43:00,47.14,Merchant_20,CARD0003,Purchase,0
324,2025-02-04,11:41:00,111.72,Merchant_6,CARD0066,Purchase,0
325,2025-01-12,07:45:00,106.01,Merchant_5,CARD0098,Purchase,0
326,2025-02-03,09:20:00,68.08,Merchant_13,CARD0060,Purchase,0
327,2025-01-19,15:40:00,45.55,Merchant_9,CARD0099,Purchase,0
328,2025-03-30,13:30:00,150.46,Merchant_10,CARD0063,Purchase,0
329,2025-03-05,10:41:00,138.24,Merchant_8,CARD0084,Purchase,0
330,2025-02-09,14:34:00,661.01,Merchant_6,CARD0017,Purchase,1
331,2025-01-29,11:07:00,229.45,Merchant_13,CARD0095,Online,0
332,2025-03-07,02:25:00,99.62,Merchant_6,CARD0081,Online,0
333,2025-01-20,01:28:00,159.78,Merchant_20,CARD0074,Refund,0
334,2025-01-18,04:48:00,773.94,Merchant_14,CARD0087,Purchase,1
335,2025-03-20,13:27:00,42.65,Merchant_4,CARD0030,Purchase,0
336,2025-03-23,21:06:00,163.27,Merchant_2,CARD0037,Purchase,0
337,2025-03-09,03:17:00,50.0,Merchant_1,CARD0044,Online,0
338,2025-03-01,12:52:00,73.36,Merchant_14,CARD0066,Refund,0
339,2025-02-14,12:50:00,100.44,Merchant_16,CARD0041,Purchase,0
340,2025-02-06,21:25:00,38.95,Merchant_14,CARD0060,Purchase,0
341,2025-02-13,12:58:00,1107.31,Merchant_9,CARD0070,Online,1
342,2025-01-23,16:20:00,79.49,Merchant_9,CARD0013,Purchase,0
343,2025-03-09,22:51:00,33.73,Merchant_2,CARD0056,Online,0
344,2025-01-16,03:34:00,63.03,Merchant_11,CARD0024,Purchase,0
345,2025-03-09,07:59:00,52.52,Merchant_19,CARD0003,Purchase,0
346,2025-02-27,16:32:00,25.58,Merchant_18,CARD0064,Online,0
347,2025-03-29,08:56:00,1851.88,Merchant_12,CARD0029,Purchase,1
348,2025-03-11,03:04:00,69.7,Merchant_6,CARD0016,Purchase,0
349,2025-02-07,20:20:00,139.48,Merchant_9,CARD0088,Purchase,0
350,2025-02-15,03:30:00,28.0,Merchant_7,CARD0004,Purchase,0
351,2025-02-23,14:14:00,67.66,Merchant_3,CARD0071,Purchase,0
352,2025-03-21,11:18:00,47.78,Merchant_8,CARD0054,Purchase,0
353,2025-02-03,23:52:00,95.74,Merchant_9,CARD0020,Cash_Advance,0
354,2025-03-30,07:09:00,44.48,Merchant_15,CARD0079,Purchase,0
355,2025-02-15,15:46:00,353.46,Merchant_8,CARD0073,Purchase,1
356,2025-02-14,07:22:00,27.93,Merchant_17,CARD0057,Purchase,0
357,2025-03-06,13:20:00,86.33,Merchant_18,CARD0099,Online,0
